Time Step,Simulated Decay,Theoretical Decay
109,974,979.4352346077105
110,973,979.2485382201098
111,973,979.0618774198965
112,973,978.8752522002872
113,973,978.6886625544993
114,972,978.5021084757522
115,972,978.3155899572661
116,972,978.1291069922627
117,972,977.9426595739648
118,972,977.7562476955967
119,972,977.5698713503839
120,972,977.3835305315531
121,972,977.1972252323327
122,972,977.0109554459517
123,972,976.824721165641
124,971,976.6385223846326
125,971,976.4523590961596
126,971,976.2662312934565
127,971,976.0801389697593
128,970,975.894082118305
129,970,975.7080607323322
130,970,975.5220748050803
131,969,975.3361243297906
132,969,975.150209299705
133,969,974.9643297080675
134,969,974.7784855481225
135,969,974.5926768131166
136,969,974.4069034962969
137,969,974.2211655909122
138,969,974.0354630902126
139,968,973.8497959874493
140,968,973.6641642758748
141,967,973.4785679487431
142,966,973.2930069993092
143,966,973.1074814208297
144,966,972.9219912065622
145,966,972.7365363497657
146,966,972.5511168437007
147,965,972.3657326816284
148,964,972.1803838568119
149,964,971.9950703625153
150,964,971.809792192004
151,964,971.6245493385449
152,964,971.4393417954055
153,963,971.2541695558557
154,963,971.0690326131655
155,962,970.8839309606071
156,962,970.6988645914535
157,962,970.5138334989791
158,962,970.3288376764597
159,962,970.1438771171721
160,962,969.9589518143946
161,962,969.7740617614069
162,962,969.5892069514896
163,962,969.4043873779248
164,962,969.2196030339959
165,962,969.0348539129877
166,962,968.850140008186
167,962,968.6654613128782
168,962,968.4808178203523
169,962,968.2962095238986
170,962,968.111636416808
171,962,967.9270984923728
172,962,967.7425957438866
173,962,967.5581281646441
174,961,967.373695747942
175,961,967.1892984870772
176,961,967.0049363753486
177,961,966.8206094060563
178,961,966.6363175725014
179,961,966.4520608679867
180,961,966.2678392858159
181,961,966.083652819294
182,961,965.8995014617275
183,961,965.715385206424
184,961,965.5313040466924
185,961,965.347257975843
186,961,965.1632469871874
187,961,964.9792710740383
188,961,964.7953302297094
189,961,964.6114244475164
190,960,964.4275537207757
191,960,964.2437180428053
192,960,964.0599174069241
193,960,963.8761518064528
194,959,963.6924212347128
195,959,963.5087256850271
196,958,963.3250651507201
197,958,963.1414396251171
198,958,962.957849101545
199,958,962.7742935733319
200,958,962.590773033807
201,958,962.4072874763007
202,958,962.2238368941452
203,957,962.0404212806734
204,957,961.8570406292197
205,957,961.6736949331199
206,957,961.4903841857109
207,957,961.307108380331
